NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
07041,"LIVER SAUSAGE,LIVERWURST,PORK",52.1,326,14.1,28.5,3.1,2.2,0,,26,6.4,12,230,170,860,2.3,0.24,0.155,58,0,0.272,1.03,4.3,2.95,0.19,30,0,30,30,,13.46,27667,8308,8308,,,,,,,,,,10.6,13.34,2.6,158,0,18,"1 slice,  (2-1/2"" dia x 1/4"" thick)"
01077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",88.13,61,3.15,3.25,0.67,4.8,0,5.05,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.373,0.036,5,0,5,5,14.3,0.45,162,46,45,0,7,0,0,0,0.07,1.3,51,0.3,1.865,0.812,0.195,10,0,244,1 cup
20032,"MILLET,COOKED",71.41,119,3.51,1,0.41,23.67,1.3,0.13,3,0.63,44,100,62,2,0.91,0.161,0.272,0.9,0,0.106,0.082,1.33,0.171,0.108,19,0,19,19,11.2,0,3,0,0,0,2,0,0,70,0.02,0,0,0.3,0.172,0.184,0.508,0,0,174,1 cup
16112,MISO,43.02,199,11.69,6.01,12.81,26.47,5.4,6.2,57,2.49,48,159,210,3728,2.56,0.42,0.859,7,0,0.098,0.233,0.906,0.337,0.199,19,0,19,19,72.2,0.08,87,4,0,0,52,0,0,0,0.01,0,0,29.3,1.139,1.242,3.204,0,0,17,1 tbsp
11267,"MUSHROOMS,SHIITAKE,STIR-FRIED",87.74,39,3.45,0.35,0.78,7.68,3.6,0.3,2,0.53,19,111,326,5,0.96,0.163,0.223,6.3,0,0.099,0.274,3.87,1.36,0.174,14,0,14,14,59.4,0,0,0,0,0,0,0,0,0,0,0.5,21,0,0.03,0,0.14,0,0,89,"1 cup, whole"
11261,"MUSHROOMS,WHITE,CKD,BLD,DRND,WO/ SALT",91.08,28,2.17,0.47,0.99,5.29,2.2,2.34,6,1.74,12,87,356,2,0.87,0.504,0.115,11.9,4,0.073,0.3,4.46,2.16,0.095,18,0,18,18,20.4,0,0,0,0,0,0,0,0,0,0.01,0.2,8,0,0.061,0.008,0.183,0,0,156,"1 cup, pieces"
11263,"MUSHROOMS,WHITE,STIR-FRIED",91.1,26,3.58,0.33,0.94,4.04,1.8,0,4,0.25,11,105,396,12,0.57,0.291,0.047,13.9,0,0.096,0.463,3.987,1.45,0.042,20,0,20,20,21.9,0,0,0,0,0,0,0,0,0,0,0.2,8,0,0.04,0,0.16,0,0,108,"1 cup, sliced"
11270,"MUSTARD GREENS,RAW",90.7,27,2.86,0.42,1.36,4.67,3.2,1.32,115,1.64,32,58,384,20,0.25,0.165,,0.9,70,0.08,0.11,0.8,0.21,0.18,12,0,12,12,0.5,0,3024,151,0,10,1790,40,0,3730,2.01,0,0,257.5,0.01,0.092,0.038,0,7,56,"1 cup, chopped"
11271,"MUSTARD GRNS,CKD,BLD,DRND,WO/SALT",91.78,26,2.56,0.47,0.69,4.51,2,1.41,118,0.87,13,42,162,9,0.22,0.146,,0.6,25.3,0.041,0.063,0.433,0.12,0.098,9,0,9,9,0.4,0,12370,618,0,9,7400,35,0,10400,1.78,0,0,592.7,0.012,0.11,0.046,0,0,140,"1 cup, chopped"
12087,"NUTS,CASHEW NUTS,RAW",5.2,553,18.22,43.85,2.54,30.19,3.3,5.91,37,6.68,292,593,660,12,5.78,2.195,1.655,19.9,0.5,0.423,0.058,1.062,0.864,0.417,25,0,25,25,,0,0,0,0,0,0,0,0,22,0.9,0,0,34.1,7.783,23.797,7.845,0,,28,1 oz
